party,timestamp,amount,counterparty,communication
334,2024-02-03 08:29:27,9096.37,765,savings
135,2024-03-21 05:25:40,1757.23,805,payback
A188,2024-06-09 16:44:55,8764.73,A272,8424745171
A116,2022-12-19 04:44:18,1408.43,880,/C/
A204,2022-08-22 18:44:30,7242.44,990,/C/
A203,2023-01-28 17:31:36,3658.38,A8,4817549651
482,2022-09-12 20:37:23,6748.69,25,payback
A288,2023-06-26 01:41:01,8842.46,335,/C/
64,2024-03-25 01:27:22,2214.45,650,savings
A155,2022-10-03 04:00:04,9093.97,A333,6120047113
A70,2023-08-30 15:29:23,8872.71,397,/B/
A381,2022-12-13 09:17:35,3710.74,713,/C/
760,2022-12-24 05:05:00,4191.85,744,beers
A336,2023-07-31 04:56:16,8854.25,101,/B/
A144,2023-12-27 04:27:14,6156.91,33,/C/
A228,2022-08-19 09:03:58,3705.93,455,/A/
A51,2024-05-20 22:23:51,8554.65,702,/B/
A331,2023-08-20 01:09:58,5445.11,A184,0643171390
A171,2024-02-02 17:42:20,506.73,249,/A/
210,2022-11-23 17:17:29,7869.99,70,payback
A111,2024-01-17 00:55:48,2072.37,832,/A/
A76,2024-01-08 02:39:36,3286.27,A306,0422842102
A122,2023-08-12 06:48:30,149.59,602,/B/
A136,2023-11-27 00:45:24,158.8,A27,2681177589
A258,2024-04-02 23:08:34,1091.43,226,/C/
A338,2023-05-03 02:58:50,434.61,533,/B/
A16,2023-12-17 11:37:56,4580.97,62,/B/
436,2022-07-20 05:51:55,8473.14,702,rent
931,2023-04-04 13:15:52,4903.2,454,rent
329,2023-12-06 07:04:00,8992.77,622,beers
A141,2023-11-10 08:32:14,657.76,639,/C/
A365,2023-03-26 12:48:05,5854.06,332,/B/
A272,2024-03-06 08:04:44,9946.28,301,/B/
A221,2023-10-03 02:30:06,5056.01,A51,1836736576
97,2024-02-19 00:53:37,4160.48,320,savings
A131,2023-07-08 21:13:37,3125.92,383,/A/
A243,2022-12-28 03:35:12,6868.52,A35,1116152809
575,2022-12-22 20:50:08,9566.29,337,fries
362,2022-11-13 20:09:55,1223.19,894,fries
A217,2023-02-17 03:05:28,9411.36,888,/C/
294,2022-11-12 08:39:50,515.41,614,bonus
A296,2023-06-09 17:02:31,3517.11,A260,3273158514
A220,2023-03-12 21:59:50,5741.43,A288,9980940244
A180,2023-03-09 16:01:59,9215.45,6,/A/
A290,2023-02-16 11:40:01,8698.76,A337,6120183667
A190,2024-05-15 14:42:31,3409.62,A160,5991022901
677,2022-12-08 12:24:43,2721.76,434,savings
A213,2024-04-24 08:44:19,6071.15,A140,3815614978
A24,2023-01-07 06:20:59,6671.66,225,/B/
A29,2022-09-15 14:46:22,9844.47,A4,3432445107
A90,2023-06-08 15:23:27,7470.39,A67,6838851606
A40,2024-03-01 04:13:39,188.4,882,/B/
587,2022-10-29 22:53:03,5758.02,414,fries
296,2023-07-02 00:58:16,6401.78,117,savings
A167,2022-09-07 23:24:02,209.54,175,/C/
A354,2024-02-14 23:20:28,4601.51,A186,1613696816
A382,2023-02-03 07:00:25,8705.37,A174,3521818835
981,2023-08-08 23:53:27,3511.65,838,fries
A121,2024-03-26 09:11:42,8150.56,105,/A/
A89,2023-10-02 15:33:13,2560.43,616,/A/
671,2022-12-12 12:48:42,7602.39,77,beers
643,2022-12-24 09:54:41,9512.97,505,savings
A390,2023-05-31 05:30:09,7544.7,593,/B/
A290,2022-10-01 23:30:00,6811.65,A330,9552717744
A181,2022-11-08 08:43:56,5914.61,519,/A/
A232,2023-01-03 19:38:18,3104.77,38,/A/
A147,2023-06-28 14:54:46,3688.01,78,/C/
A47,2024-02-10 21:17:11,8642.64,629,/C/
A237,2023-11-21 03:06:10,5071.17,A298,8079359782
A231,2022-10-10 01:18:22,9577.27,A53,5182037788
A187,2023-03-20 04:08:32,6098.44,381,/B/
A397,2022-10-05 02:51:17,3874.78,346,/C/
A324,2023-03-30 05:08:42,5979.26,662,/B/
A49,2023-10-02 03:43:49,660.05,571,/C/
258,2022-09-12 14:38:55,3866.26,741,fries
A309,2022-12-14 00:26:15,9644.14,894,/A/
A299,2022-10-15 05:10:13,3334.29,679,/A/
317,2023-05-04 08:52:21,9167.55,990,fries
A201,2023-07-04 15:10:09,6985.1,132,/C/
A44,2023-11-19 20:38:28,7088.63,A159,8652816850
184,2024-06-13 13:03:53,3626.61,973,beers
784,2023-05-12 06:12:17,3417.98,497,beers
A71,2023-11-03 01:54:39,2266.2,158,/A/
A52,2023-11-18 10:46:28,2958.63,A260,8805929622
709,2022-11-24 20:55:49,1809.28,789,payback
A85,2023-10-09 19:08:39,8090.63,738,/B/
A187,2024-06-20 23:21:42,437.88,A347,3794738347
198,2023-09-21 10:58:30,9039.84,376,fries
A226,2024-04-05 20:19:58,9471.35,472,/B/
A258,2024-05-11 11:03:13,7781.46,540,/B/
A103,2023-07-10 06:11:10,9662.72,820,/C/
A129,2024-04-10 03:14:37,1384.85,53,/C/
A191,2024-04-05 04:10:59,4806.43,567,/A/
528,2022-11-29 05:47:45,7114.3,871,rent
A391,2024-04-20 08:09:02,2851.35,A83,4782613750
A203,2023-04-10 11:22:29,4149.55,514,/B/
83,2024-03-24 13:56:26,2358.54,383,beers
953,2024-01-06 23:33:08,282.85,101,fries
A75,2023-03-06 21:53:30,6499.96,140,/A/
A242,2023-09-22 18:10:16,2869.51,712,/A/
480,2023-08-14 12:07:45,7588.65,459,payback
A41,2022-12-28 20:23:47,53.51,19,/B/
153,2022-07-14 18:40:35,2157.33,561,fries
A217,2023-05-07 12:25:31,6089.19,113,/B/
124,2023-03-03 20:22:32,2377.16,48,beers
A319,2024-05-31 03:41:10,4198.84,468,/A/
A256,2023-11-15 05:12:27,1109.47,611,/C/
A264,2022-07-20 23:28:28,165.34,A295,3246095396
684,2022-07-08 15:18:32,1873.95,87,payback
A35,2022-09-30 19:16:34,9746.57,976,/C/
805,2023-08-14 13:27:08,5441.28,519,payback
A241,2022-07-20 10:25:59,204.32,A23,6540515319
A171,2022-12-11 00:37:13,7352.13,A69,0585277221
A235,2024-02-17 00:21:34,7160.73,37,/B/
A103,2023-08-24 05:19:16,2016.71,907,/A/
A159,2023-01-04 07:13:40,3156.64,A264,6874034505
A189,2024-01-10 14:48:04,2732.89,447,/B/
A198,2024-01-12 23:02:14,7433.33,347,/A/
509,2024-06-14 21:28:07,4962.54,376,payback
84,2023-09-23 10:53:25,2667.94,744,savings
A309,2022-11-06 06:14:15,790.19,A93,8451154479
A86,2023-05-25 11:33:29,7176.91,A354,7570596401
A208,2023-08-13 00:02:11,6712.17,372,/C/
A348,2023-04-01 07:18:36,8011.16,163,/A/
A312,2022-07-22 16:19:51,1428.65,694,/B/
A35,2022-11-11 09:50:50,348.95,241,/C/
A197,2024-04-25 07:57:37,3663.92,A291,0927557192
A204,2023-08-21 16:14:22,5295.07,A161,4310278681
A134,2022-10-31 21:38:18,2618.5,A361,7394731217
A366,2023-11-23 01:43:55,1727.39,455,/A/
990,2024-05-10 12:43:05,8105.32,865,bonus
726,2023-01-03 16:20:54,6678.73,66,payback
A154,2022-10-09 06:20:40,5422.17,A81,2583132370
A294,2023-04-09 19:06:38,3609.6,377,/B/
564,2022-06-22 12:59:21,8036.81,132,payback
67,2022-09-07 15:23:15,8842.58,316,savings
A369,2023-01-18 03:59:52,9995.95,490,/C/
419,2023-12-02 11:09:37,4108.54,843,payback
995,2024-03-17 10:18:01,738.43,324,fries
A239,2023-09-16 00:37:18,742.58,696,/C/
A400,2022-07-30 16:05:19,3445.8,564,/C/
A394,2023-04-04 16:11:06,5878.27,989,/A/
932,2023-06-15 13:51:22,4326.75,889,rent
A266,2023-05-05 13:40:19,8314.08,156,/B/
330,2023-10-24 10:56:29,1647.41,957,fries
A266,2023-06-29 05:35:16,2255.48,916,/B/
A129,2023-01-13 18:06:18,8459.49,201,/C/
A141,2023-11-22 09:27:16,9563.56,128,/C/
A274,2022-11-28 15:01:23,3028.94,A48,8299229959
A15,2024-04-28 07:27:30,412.9,83,/A/
A395,2023-06-25 23:48:56,9485.52,590,/B/
785,2023-05-07 04:32:23,6511.65,585,savings
A16,2023-01-15 10:04:34,6181.47,509,/C/
A329,2022-09-15 06:39:31,5456.23,979,/B/
824,2023-04-02 13:21:16,4829.97,826,fries
A233,2023-04-25 18:36:29,4061.52,A38,0276773592
A368,2024-06-18 13:49:33,3126.51,326,/C/
A177,2023-01-21 12:17:22,9880.25,A205,2588153714
A73,2023-08-30 02:01:41,4496.51,99,/A/
A197,2024-01-18 11:55:39,2902.83,A316,6325953278
A158,2022-08-30 03:41:05,4668.68,509,/A/
A202,2023-03-23 03:56:04,901.4,517,/B/
A111,2023-10-27 12:23:29,9666.9,597,/B/
288,2023-03-08 07:16:36,487.53,506,payback
A335,2023-05-12 13:59:20,8823.51,688,/B/
A5,2022-11-15 11:05:03,2858.2,867,/A/
903,2024-01-06 20:55:38,4309.85,270,fries
A207,2023-09-10 01:04:53,3658.41,374,/A/
583,2023-09-23 01:05:53,4006.42,575,beers
A148,2024-01-05 20:53:50,3625.88,A38,6878499121
A174,2024-03-17 17:45:46,3939.64,A286,5239868000
A171,2023-04-15 01:14:54,1371.23,A243,8729825952
A316,2024-06-20 02:42:42,3930.15,757,/B/
519,2023-12-22 19:54:49,5937.65,848,payback
A363,2022-09-17 01:59:34,5323.87,A289,4705516940
A136,2022-07-16 15:55:10,5969.5,990,/C/
A398,2023-09-20 03:12:49,7829.26,A297,9309728962
A125,2022-10-12 05:50:52,8216.79,A17,9130756263
A397,2023-03-18 06:12:13,4104.36,A314,7028385786
A89,2023-04-26 09:21:33,3138.21,470,/C/
A182,2022-07-16 06:56:57,3423.93,692,/C/
A355,2022-10-16 18:25:59,6807.78,A136,9733484344
A354,2024-03-21 23:27:35,7049.3,721,/B/
357,2024-02-17 00:39:46,3171.09,573,fries
A63,2023-04-29 09:51:41,2735.3,587,/C/
A203,2023-08-22 11:41:01,5432.37,A177,2404157473
A276,2022-07-19 00:31:50,2021.48,277,/C/
A71,2024-02-28 06:21:41,6962.02,111,/C/
245,2022-08-25 06:13:06,7409.17,248,rent
A272,2023-02-11 22:55:59,6698.67,231,/C/
A52,2024-01-08 07:14:20,2329.13,A212,5712082677
774,2023-07-26 15:49:59,6505.74,987,bonus
A331,2023-03-28 23:59:44,3212.36,60,/A/
A119,2023-02-22 12:53:01,6523.34,A274,0262067240
A291,2023-12-11 22:50:34,93.66,617,/A/
A172,2023-07-20 06:09:33,9284.62,291,/B/
A279,2024-02-01 01:49:19,9891.01,536,/B/
A69,2022-10-30 14:38:57,8892.71,871,/C/
A99,2023-11-09 15:23:18,4680.74,828,/A/
A375,2024-04-12 11:43:42,3307.51,A235,4205493296
A264,2023-06-25 10:22:41,8270.07,A168,1612275304
A229,2022-12-03 21:52:25,3836.36,A386,4549904530
A239,2023-02-13 18:34:37,6678.19,A158,2684145933
A245,2023-12-22 08:11:35,9573.65,156,/B/
A311,2023-01-11 12:08:23,7477.6,382,/B/
A242,2023-10-22 08:04:54,7019.71,A388,8339187851
A58,2023-12-26 20:10:20,9172.53,63,/C/
A104,2023-09-30 14:52:50,9028.98,586,/C/
A168,2023-06-03 03:07:42,1499.37,A267,7139718707
A213,2023-02-13 08:54:55,1320.31,A234,9087406403
A24,2024-03-30 09:26:46,5783.53,433,/B/
A278,2023-06-30 17:03:29,7004.15,61,/A/
483,2023-01-06 22:01:50,9861.39,32,bonus
A394,2023-08-17 20:29:34,4089.26,138,/C/
661,2023-11-11 02:28:02,9783.35,986,savings
A196,2023-01-12 23:38:24,3745.23,459,/B/
A350,2022-09-30 23:02:01,3757.08,987,/C/
A69,2023-07-20 00:55:49,8745.66,669,/B/
A276,2023-01-31 05:09:32,1187.21,402,/C/
228,2022-08-19 00:38:50,1274.34,854,rent
305,2023-10-24 11:29:19,7562.04,474,fries
A218,2024-01-24 13:49:22,7191.22,A273,6337524310
A215,2023-12-13 09:06:55,8094.97,629,/A/
68,2023-12-13 22:33:09,2407.42,103,payback
A307,2022-12-11 18:41:48,336.73,688,/C/
A126,2022-12-12 09:53:43,8722.25,A380,0673830284
938,2022-06-24 22:09:13,2342.38,749,payback
A307,2023-08-09 14:34:19,3189.72,791,/C/
242,2024-04-12 01:11:36,8184.01,309,beers
533,2023-05-24 11:02:14,9856.97,226,savings
A32,2023-07-01 15:33:56,3005.71,570,/C/
A90,2023-03-13 21:32:04,8797.26,641,/C/
A254,2022-08-27 06:32:55,4272.58,48,/B/
A344,2024-04-30 06:25:14,9415.92,390,/C/
A214,2023-12-14 17:11:38,3188.03,A210,2462873342
A30,2023-05-15 08:59:02,8057.96,575,/B/
A286,2024-05-09 13:08:04,9677.89,542,/A/
A131,2023-10-17 06:55:38,3884.8,A105,5175183046
A309,2023-11-14 03:31:16,6737.05,40,/A/
A390,2023-10-23 08:20:34,1882.44,601,/C/
222,2023-08-20 00:18:52,6714.83,490,beers
340,2023-08-19 16:32:43,8694.87,310,rent
A98,2023-10-27 06:52:01,2118.87,A380,1739363854
A274,2023-06-10 17:36:59,3807.24,A333,5445877175
A190,2024-02-01 00:45:31,9143.39,320,/B/
A114,2024-02-06 18:40:03,458.11,759,/A/
566,2024-01-10 22:04:23,163.18,957,payback
427,2023-10-04 23:57:56,5791.85,302,beers
A118,2024-05-04 08:48:04,1962.72,388,/C/
A256,2023-06-27 18:30:53,8333.79,563,/C/
A173,2024-01-06 17:55:21,9434.7,263,/B/
A329,2023-03-02 02:15:27,9665.12,757,/B/
A376,2022-12-06 16:58:14,4608.83,814,/B/
A369,2023-09-13 16:05:01,1693.49,A280,7280801006
A323,2023-07-04 21:01:44,1375.78,236,/A/
A5,2023-04-22 14:36:35,7071.99,223,/C/
A31,2023-03-20 19:24:49,4560.64,632,/C/
A316,2023-11-07 09:36:43,6667.88,934,/B/
16,2023-12-13 00:46:23,6593.18,6,payback
A7,2023-10-09 04:55:51,5516.88,17,/C/
A275,2022-10-18 12:28:26,7222.21,A147,0862118233
258,2023-01-07 14:30:08,6198.19,834,bonus
406,2022-10-24 11:25:47,2673.98,80,bonus
470,2022-11-14 14:22:17,9593.02,578,beers
231,2022-11-02 13:31:09,9902.34,307,fries
A42,2023-04-10 05:41:40,8280.79,A335,0166687002
A223,2023-11-16 20:42:53,827.78,660,/B/
A49,2022-09-16 19:36:29,5659.0,916,/C/
235,2023-10-13 07:13:30,9191.6,216,fries
A244,2022-09-02 08:21:01,8875.66,277,/A/
A351,2024-04-28 04:07:51,9241.67,947,/B/
577,2024-04-11 06:40:03,8993.22,673,rent
A162,2023-09-25 14:42:09,1794.37,16,/A/
A386,2023-04-08 05:30:17,5870.77,840,/C/
A40,2022-12-04 23:02:46,8209.2,306,/A/
A291,2022-09-05 17:20:52,5640.02,854,/B/
553,2024-02-04 04:50:11,6770.67,339,savings
A72,2023-01-02 05:19:33,7556.34,809,/C/
A257,2023-05-19 02:23:29,7241.91,763,/B/
A224,2023-04-13 17:48:45,537.91,237,/A/
A394,2022-07-08 15:20:16,3406.59,A315,9650477358
A222,2023-02-07 13:49:46,9411.49,190,/C/
389,2023-05-26 06:13:53,5859.17,87,payback
252,2023-05-03 13:50:20,2954.5,730,rent
A79,2022-10-27 19:57:45,821.3,389,/C/
157,2023-08-29 13:57:25,7839.12,757,savings
A55,2023-06-25 23:51:07,3167.47,93,/A/
A228,2022-12-10 13:42:47,9429.66,A185,4121267888
A14,2022-10-29 00:40:54,4081.03,91,/B/
A306,2023-12-18 13:20:04,5542.64,612,/B/
A7,2022-07-12 12:59:52,8637.32,298,/B/
A44,2023-12-15 12:41:51,3878.61,742,/C/
A125,2022-11-20 13:44:06,9052.17,585,/C/
A195,2023-05-23 04:13:15,1696.66,A87,2444721264
A248,2023-06-10 16:45:16,4211.6,801,/A/
A127,2022-12-21 03:02:01,3611.89,A370,7993712406
A318,2022-07-09 03:45:43,3322.84,A195,5756924593
181,2024-03-12 03:10:32,4790.62,987,savings
298,2023-07-09 01:18:17,9687.28,752,fries
990,2024-02-06 01:26:02,6329.39,589,beers
287,2024-01-15 01:17:10,3259.54,836,savings
954,2023-02-01 08:22:49,3650.79,577,beers
A280,2022-09-17 03:18:42,5922.68,184,/C/
27,2022-11-08 08:00:37,7676.41,975,fries
A363,2023-08-05 12:30:31,4616.76,214,/B/
A355,2023-06-22 16:30:52,7977.06,A36,6724342661
612,2023-05-25 09:07:27,4491.22,490,payback
A260,2023-06-22 10:30:59,4008.65,A355,6805891135
A314,2023-01-12 01:08:35,1664.22,45,/C/
693,2023-05-30 06:51:22,9836.1,662,savings
A170,2023-10-16 05:04:35,9668.14,988,/B/
A51,2023-06-20 21:10:52,1060.34,264,/A/
A266,2023-07-24 16:38:17,5107.25,A286,9937567982
A13,2022-08-09 14:39:02,3450.33,494,/A/
A44,2022-08-25 19:40:38,2955.03,A60,2545738757
A370,2023-06-21 05:15:19,977.13,713,/B/
307,2024-05-23 23:32:45,3189.78,45,fries
A176,2023-01-23 20:32:11,1151.74,A332,1238282586
A119,2022-10-25 06:07:52,9584.67,A208,2266093796
A361,2022-12-27 11:03:23,3888.97,A110,3419182553
A135,2024-06-13 21:14:01,4576.05,686,/B/
A328,2024-01-20 16:45:45,5277.62,320,/C/
A201,2023-03-25 09:28:24,3887.0,A301,1557924991
A161,2023-02-01 15:23:52,6721.43,120,/A/
A94,2022-07-27 02:27:32,3054.49,A192,2866929662
A276,2022-07-20 01:56:28,4867.22,A356,2827422579
A184,2023-07-08 00:28:06,537.06,974,/A/
A100,2024-04-24 17:16:14,4846.6,A197,8876767721
A390,2024-02-29 04:43:03,5654.41,A113,4043842797
115,2023-05-13 10:28:48,5497.71,586,rent
A279,2023-10-09 17:10:41,2679.62,A188,8078361340
A179,2022-07-13 18:08:09,4497.87,882,/A/
A61,2023-01-21 07:36:50,4391.26,A398,3395962923
A31,2023-10-20 10:36:53,8135.49,583,/B/
A306,2024-05-24 21:52:58,5323.28,A276,2544948126
A142,2024-06-09 16:01:37,9187.77,887,/C/
886,2024-01-20 01:49:04,1269.75,135,beers
A165,2023-03-20 23:25:08,1463.29,A127,6729466711
767,2023-01-31 10:11:26,4029.1,284,fries
A189,2024-06-16 05:13:27,9363.42,465,/B/
A2,2023-01-11 04:22:06,3273.57,A397,1751863637
A146,2022-07-12 06:29:22,2686.1,A173,8929750017
A81,2022-08-13 03:30:55,163.8,451,/B/
A220,2023-10-09 23:36:15,7.76,207,/C/
A333,2023-09-26 22:47:39,9094.16,309,/A/
A141,2023-11-18 18:16:32,8744.36,95,/C/
A43,2022-10-16 11:41:29,3604.99,380,/C/
A85,2023-01-29 09:42:36,9038.1,53,/B/
A372,2024-02-23 17:54:10,6256.42,A359,3611037129
A349,2022-09-08 07:39:06,2262.68,A228,0051627136
A53,2023-12-02 15:45:29,894.22,A53,5542622189
665,2023-01-14 02:17:56,85.74,168,savings
A110,2024-03-12 08:38:07,3512.53,643,/C/
421,2023-10-04 00:41:04,1514.59,630,fries
A112,2024-03-28 13:10:56,4424.4,88,/A/
A64,2024-06-15 05:31:56,1400.99,603,/C/
A220,2023-05-19 20:24:30,3840.94,A162,2341389994
A354,2022-10-12 11:45:26,7789.92,27,/C/
210,2022-11-07 19:18:18,8758.4,530,payback
765,2022-11-10 04:12:26,5095.72,401,bonus
A123,2023-01-20 02:40:26,6462.05,A254,6137918055
A292,2022-12-13 12:29:03,1320.7,430,/B/
176,2024-04-26 07:37:34,5464.02,781,savings
788,2023-10-09 01:47:12,9544.58,74,rent
A8,2022-07-07 15:42:18,5874.05,268,/A/
61,2023-05-15 01:30:14,399.23,971,savings
A322,2022-10-09 13:15:03,5066.6,A365,8666188924
A41,2022-11-18 10:07:10,836.89,523,/A/
159,2024-05-06 02:19:24,9743.16,549,bonus
649,2024-02-18 00:03:41,3907.92,781,fries
A34,2024-04-17 19:22:59,6810.88,A159,6303161799
A342,2022-12-21 03:21:05,551.23,759,/C/
A62,2023-07-08 19:40:54,7406.84,12,/C/
A6,2023-03-08 20:15:50,1372.98,A84,7588425241
A16,2024-03-22 03:54:27,7714.53,A172,6481491778
A256,2024-04-28 07:35:26,3601.88,A291,2524191380
A7,2023-01-29 13:35:50,441.34,A126,0756220863
A214,2023-10-08 16:23:36,3218.7,937,/C/
845,2024-02-02 22:04:25,3200.03,79,payback
A258,2024-05-13 21:06:18,3728.71,A345,0238061744
A284,2023-02-20 17:45:35,3273.68,467,/A/
A150,2023-09-23 14:01:48,3689.82,577,/B/
A125,2022-07-07 14:08:10,7396.02,A238,5973832060
354,2022-08-08 17:11:42,2330.74,651,fries
A172,2023-12-16 02:21:31,8772.11,1,/C/
755,2024-06-11 10:48:06,3763.37,744,bonus
A272,2022-08-11 11:17:19,1040.39,243,/B/
61,2022-12-21 02:23:16,4920.8,995,beers
95,2022-08-18 09:28:11,7116.81,44,beers
532,2023-02-20 06:27:17,8972.98,422,fries
A235,2023-06-05 19:59:13,8955.88,997,/C/
A49,2022-11-02 20:34:53,849.94,517,/A/
A202,2023-02-14 22:41:51,6372.52,76,/C/
A223,2022-09-03 06:12:05,5678.64,A340,2344565574
A104,2023-04-17 11:35:19,2336.88,139,/C/
A55,2023-07-09 11:49:44,1090.62,168,/B/
A209,2023-02-06 18:14:09,4661.09,A62,8537474112
311,2022-11-04 10:34:22,8076.16,846,fries
A21,2024-06-16 11:47:48,6969.08,A111,5213568044
178,2023-02-21 01:31:56,8201.08,31,savings
A285,2024-03-01 08:11:01,8546.16,A384,8317121003
843,2024-06-08 07:49:36,1308.02,410,bonus
A331,2024-05-15 00:06:25,6863.17,A44,9941013721
A170,2022-07-28 11:47:05,9050.87,125,/A/
A26,2022-11-10 21:32:35,9422.86,A87,9667066253
281,2023-01-05 14:59:43,9083.13,286,savings
A18,2023-12-17 19:11:37,8834.35,628,/C/
A332,2022-07-29 22:47:23,6170.15,A152,7687014626
A270,2024-04-22 08:17:14,1995.38,255,/C/
A279,2022-11-20 11:39:30,9940.88,813,/A/
A366,2023-12-29 03:05:39,9894.05,367,/B/
A249,2023-04-23 17:35:25,5445.63,352,/C/
A199,2023-05-19 21:04:45,5024.43,276,/A/
A306,2022-07-13 06:34:19,261.6,224,/A/
A399,2022-07-20 04:04:41,8957.75,A144,0785932133
835,2023-11-22 13:15:09,2666.0,810,fries
A113,2024-02-16 19:01:49,560.03,589,/B/
A89,2022-08-26 01:21:38,3548.69,A91,3955905992
A97,2023-04-14 07:57:40,5631.53,A253,8427010393
A245,2024-04-02 10:44:47,200.26,0,/B/
A104,2023-02-13 23:07:32,9179.04,825,/A/
A91,2022-08-29 19:32:39,3408.25,940,/B/
151,2023-05-12 03:59:33,596.5,600,fries
A397,2023-06-05 17:20:50,9172.32,113,/C/
A38,2023-04-10 05:02:51,8606.83,382,/C/
A203,2022-08-27 16:24:00,9419.29,600,/A/
330,2023-04-04 21:22:15,3366.27,139,beers
A224,2022-09-02 04:38:37,7323.79,A328,7528953926
A353,2023-11-09 20:39:20,3068.93,A151,2209690295
A314,2023-10-02 20:30:42,9210.46,226,/C/
A255,2023-05-29 16:24:38,5655.94,144,/B/
A122,2022-10-02 09:01:10,7453.69,355,/B/
A46,2023-05-06 15:36:26,1679.71,A363,5704331541
A25,2023-03-23 02:13:57,7204.42,395,/B/
992,2023-07-18 02:53:32,7326.11,170,savings
A194,2022-10-01 17:04:14,4931.33,A180,8617932710
A164,2023-05-05 17:21:38,2949.79,A134,1152621815
A315,2022-12-31 17:02:20,5940.71,A248,0629620153
A210,2023-02-15 17:31:12,9744.01,713,/C/
A374,2022-08-15 13:53:36,7220.66,553,/B/
A153,2024-06-17 15:02:56,6606.32,243,/A/
A293,2022-09-29 18:41:00,497.3,A282,7205061497
A14,2024-03-13 11:43:30,1997.55,A106,2417146774
557,2022-11-16 21:03:41,912.28,396,beers
390,2023-07-07 08:34:52,3710.83,378,beers
A135,2022-08-31 17:54:47,4458.31,450,/B/
A138,2022-07-14 10:03:43,2634.74,A289,0211586938
